country,year,nitrous_oxide,co2_emissions,agricultural_land,greenhouse_gas_emissions,cereal_yield,population_growth,arable_land,urban_population,GDP,fresh_water
Belgium,1996,9320.0,,,,,,,,,
Belgium,1995,8830.0,,,,,,,,,
Belgium,1994,8450.0,,,,,,,,,
Belgium,1993,7950.0,,,,,,,,,
Belgium,1992,7730.0,,,,,,,,,
Belgium,1991,8100.0,,,,,,,,,
Belgium,1990,8170.0,,,,,,,,,
France,2020,,,,,,,,,,
France,2019,38260.0,,,,,,,,,
France,2018,38120.0,,,,,,,,,
France,2017,38620.0,,,,,,,,,
France,2016,37650.0,,,,,,,,,
France,2015,39150.0,,,,,,,,,
France,2014,38530.0,,,,,,,,,
France,2013,38280.0,,,,,,,,,
France,2012,37300.0,,,,,,,,,
France,2011,36730.0,,,,,,,,,
France,2010,38680.0,,,,,,,,,
France,2009,39760.0,,,,,,,,,
France,2008,41960.0,,,,,,,,,
France,2007,43790.0,,,,,,,,,
France,2006,42710.0,,,,,,,,,
France,2005,43510.0,,,,,,,,,
France,2004,44690.0,,,,,,,,,
France,2003,47220.0,,,,,,,,,
France,2002,47360.0,,,,,,,,,
France,2001,49840.0,,,,,,,,,
France,2000,49090.0,,,,,,,,,
France,1999,51220.0,,,,,,,,,
France,1998,55940.0,,,,,,,,,
France,1997,63120.0,,,,,,,,,
France,1996,63760.0,,,,,,,,,
France,1995,61490.0,,,,,,,,,
France,1994,60660.0,,,,,,,,,
France,1993,59890.0,,,,,,,,,
France,1992,59650.0,,,,,,,,,
France,1991,61750.0,,,,,,,,,
France,1990,61290.0,,,,,,,,,
"Hong Kong SAR, China",2020,,,,,,,,,,
"Hong Kong SAR, China",2019,,,,,,,,,,
"Hong Kong SAR, China",2018,,,,,,,,,,
"Hong Kong SAR, China",2017,,,,,,,,,,
"Hong Kong SAR, China",2016,,,,,,,,,,
"Hong Kong SAR, China",2015,,,,,,,,,,
"Hong Kong SAR, China",2014,,,,,,,,,,
"Hong Kong SAR, China",2013,,,,,,,,,,
"Hong Kong SAR, China",2012,,,,,,,,,,
"Hong Kong SAR, China",2011,,,,,,,,,,
"Hong Kong SAR, China",2010,,,,,,,,,,
"Hong Kong SAR, China",2009,,,,,,,,,,
"Hong Kong SAR, China",2008,,,,,,,,,,
"Hong Kong SAR, China",2007,,,,,,,,,,
"Hong Kong SAR, China",2006,,,,,,,,,,
"Hong Kong SAR, China",2005,,,,,,,,,,
"Hong Kong SAR, China",2004,,,,,,,,,,
"Hong Kong SAR, China",2003,,,,,,,,,,
"Hong Kong SAR, China",2002,,,,,,,,,,
"Hong Kong SAR, China",2001,,,,,,,,,,
"Hong Kong SAR, China",2000,,,,,,,,,,
"Hong Kong SAR, China",1999,,,,,,,,,,
"Hong Kong SAR, China",1998,,,,,,,,,,
"Hong Kong SAR, China",1997,,,,,,,,,,
"Hong Kong SAR, China",1996,,,,,,,,,,
"Hong Kong SAR, China",1995,,,,,,,,,,
"Hong Kong SAR, China",1994,,,,,,,,,,
"Hong Kong SAR, China",1993,,,,,,,,,,
"Hong Kong SAR, China",1992,,,,,,,,,,
"Hong Kong SAR, China",1991,,,,,,,,,,
"Hong Kong SAR, China",1990,,,,,,,,,,
Indonesia,2020,,,,,,,,,,
Indonesia,2019,98090.0,,,,,,,,,
Indonesia,2018,98120.0,,,,,,,,,
Indonesia,2017,94800.0,,,,,,,,,
Indonesia,2016,88700.0,,,,,,,,,
Indonesia,2015,86970.0,,,,,,,,,
Indonesia,2014,86890.0,,,,,,,,,
Indonesia,2013,83740.0,,,,,,,,,
Indonesia,2012,85770.0,,,,,,,,,
Indonesia,2011,83590.0,,,,,,,,,
Indonesia,2010,80480.0,,,,,,,,,
Indonesia,2009,80630.0,,,,,,,,,
Indonesia,2008,77340.0,,,,,,,,,
Indonesia,2007,74980.0,,,,,,,,,
Indonesia,2006,73400.0,,,,,,,,,
Indonesia,2005,71550.0,,,,,,,,,
Indonesia,2004,70550.0,,,,,,,,,
Indonesia,2003,68620.0,,,,,,,,,
Indonesia,2002,68050.0,,,,,,,,,
Indonesia,2001,65700.0,,,,,,,,,
Indonesia,2000,65400.0,,,,,,,,,
Indonesia,1999,63890.0,,,,,,,,,
Indonesia,1998,65450.0,,,,,,,,,
Indonesia,1997,64300.0,,,,,,,,,
Indonesia,1996,66590.0,,,,,,,,,
Indonesia,1995,64470.0,,,,,,,,,
Indonesia,1994,62070.0,,,,,,,,,
Indonesia,1993,60450.0,,,,,,,,,
Indonesia,1992,61450.0,,,,,,,,,
Indonesia,1991,59310.0,,,,,,,,,
Indonesia,1990,59070.0,,,,,,,,,
Kenya,2020,,,,,,,,,,
Kenya,2019,19880.0,,,,,,,,,
Kenya,2018,17310.0,,,,,,,,,
Kenya,2017,16650.0,,,,,,,,,
Kenya,2016,18030.0,,,,,,,,,
Kenya,2015,16870.0,,,,,,,,,
Kenya,2014,17350.0,,,,,,,,,
Kenya,2013,16390.0,,,,,,,,,
Kenya,2012,16460.0,,,,,,,,,
Kenya,2011,16630.0,,,,,,,,,
Kenya,2010,16010.0,,,,,,,,,
Kenya,2009,15810.0,,,,,,,,,
Kenya,2008,16330.0,,,,,,,,,
Kenya,2007,16320.0,,,,,,,,,
Kenya,2006,10600.0,,,,,,,,,
Kenya,2005,11020.0,,,,,,,,,
Kenya,2004,11080.0,,,,,,,,,
Kenya,2003,10600.0,,,,,,,,,
Kenya,2002,9920.0,,,,,,,,,
Kenya,2001,9610.0,,,,,,,,,
Kenya,2000,9530.0,,,,,,,,,
Kenya,1999,10240.0,,,,,,,,,
Kenya,1998,9760.0,,,,,,,,,
Kenya,1997,9440.0,,,,,,,,,
Kenya,1996,9480.0,,,,,,,,,
Kenya,1995,9860.0,,,,,,,,,
Kenya,1994,10000.0,,,,,,,,,
Kenya,1993,9880.0,,,,,,,,,
Kenya,1992,9980.0,,,,,,,,,
Kenya,1991,10030.0,,,,,,,,,
Kenya,1990,10380.0,,,,,,,,,
Nepal,2020,,,,,,,,,,
Nepal,2019,7120.0,,,,,,,,,
Nepal,2018,7100.0,,,,,,,,,
Nepal,2017,6750.0,,,,,,,,,
Nepal,2016,6750.0,,,,,,,,,
Nepal,2015,6540.0,,,,,,,,,
Nepal,2014,6510.0,,,,,,,,,
Nepal,2013,6280.0,,,,,,,,,
Nepal,2012,6000.0,,,,,,,,,
Nepal,2011,5930.0,,,,,,,,,
Nepal,2010,5670.0,,,,,,,,,
Nepal,2009,5490.0,,,,,,,,,
Nepal,2008,5200.0,,,,,,,,,
Nepal,2007,5050.0,,,,,,,,,
Nepal,2006,5000.0,,,,,,,,,
Nepal,2005,4900.0,,,,,,,,,
Nepal,2004,4860.0,,,,,,,,,
Nepal,2003,4740.0,,,,,,,,,
Nepal,2002,4750.0,,,,,,,,,
Nepal,2001,4840.0,,,,,,,,,
Nepal,2000,4800.0,,,,,,,,,
Nepal,1999,4770.0,,,,,,,,,
Nepal,1998,4820.0,,,,,,,,,
Nepal,1997,4690.0,,,,,,,,,
Nepal,1996,4620.0,,,,,,,,,
Nepal,1995,4520.0,,,,,,,,,
Nepal,1994,4360.0,,,,,,,,,
Nepal,1993,4200.0,,,,,,,,,
Nepal,1992,4140.0,,,,,,,,,
Nepal,1991,4150.0,,,,,,,,,
Nepal,1990,4110.0,,,,,,,,,
Saudi Arabia,2020,,,,,,,,,,
Saudi Arabia,2019,8250.0,,,,,,,,,
Saudi Arabia,2018,8070.0,,,,,,,,,
Saudi Arabia,2017,8170.0,,,,,,,,,
Saudi Arabia,2016,8380.0,,,,,,,,,
Saudi Arabia,2015,8310.0,,,,,,,,,
Saudi Arabia,2014,7870.0,,,,,,,,,
Saudi Arabia,2013,7830.0,,,,,,,,,
Saudi Arabia,2012,7280.0,,,,,,,,,
Saudi Arabia,2011,7020.0,,,,,,,,,
Saudi Arabia,2010,6540.0,,,,,,,,,
Saudi Arabia,2009,6240.0,,,,,,,,,
Saudi Arabia,2008,6350.0,,,,,,,,,
Saudi Arabia,2007,6840.0,,,,,,,,,
Saudi Arabia,2006,6500.0,,,,,,,,,
Saudi Arabia,2005,6340.0,,,,,,,,,
Saudi Arabia,2004,6460.0,,,,,,,,,
Saudi Arabia,2003,6210.0,,,,,,,,,
Saudi Arabia,2002,6030.0,,,,,,,,,
Saudi Arabia,2001,5870.0,,,,,,,,,
Saudi Arabia,2000,5720.0,,,,,,,,,
Saudi Arabia,1999,5480.0,,,,,,,,,
Saudi Arabia,1998,5460.0,,,,,,,,,
Saudi Arabia,1997,5290.0,,,,,,,,,
Saudi Arabia,1996,5040.0,,,,,,,,,
Saudi Arabia,1995,4840.0,,,,,,,,,
Saudi Arabia,1994,5310.0,,,,,,,,,
Saudi Arabia,1993,5500.0,,,,,,,,,
Saudi Arabia,1992,5610.0,,,,,,,,,
Saudi Arabia,1991,5380.0,,,,,,,,,
Saudi Arabia,1990,5150.0,,,,,,,,,
Sweden,2020,,,,,,,,,,
Sweden,2019,5640.0,,,,,,,,,
Sweden,2018,5440.0,,,,,,,,,
Sweden,2017,5660.0,,,,,,,,,
Sweden,2016,5460.0,,,,,,,,,
Sweden,2015,5440.0,,,,,,,,,
Sweden,2014,5350.0,,,,,,,,,
Sweden,2013,5140.0,,,,,,,,,
Sweden,2012,5110.0,,,,,,,,,
Sweden,2011,5190.0,,,,,,,,,
Sweden,2010,5430.0,,,,,,,,,
Sweden,2009,5210.0,,,,,,,,,
Sweden,2008,5450.0,,,,,,,,,
Sweden,2007,5280.0,,,,,,,,,
Sweden,2006,5390.0,,,,,,,,,
Sweden,2005,5420.0,,,,,,,,,
Sweden,2004,5540.0,,,,,,,,,
Sweden,2003,5500.0,,,,,,,,,
Sweden,2002,5510.0,,,,,,,,,
Sweden,2001,5560.0,,,,,,,,,
Sweden,2000,5840.0,,,,,,,,,
Sweden,1999,5810.0,,,,,,,,,
Sweden,1998,5970.0,,,,,,,,,
Sweden,1997,6020.0,,,,,,,,,
Sweden,1996,6040.0,,,,,,,,,
Sweden,1995,5870.0,,,,,,,,,
Sweden,1994,6030.0,,,,,,,,,
Sweden,1993,6140.0,,,,,,,,,
Sweden,1992,5950.0,,,,,,,,,
Sweden,1991,5840.0,,,,,,,,,
Sweden,1990,6070.0,,,,,,,,,
Eswatini,2020,,,,,,,,,,
Eswatini,2019,400.0,,,,,,,,,
Eswatini,2018,380.0,,,,,,,,,
Eswatini,2017,380.0,,,,,,,,,
Eswatini,2016,360.0,,,,,,,,,
Eswatini,2015,370.0,,,,,,,,,
Eswatini,2014,390.0,,,,,,,,,
Eswatini,2013,400.0,,,,,,,,,
Eswatini,2012,390.0,,,,,,,,,
Eswatini,2011,390.0,,,,,,,,,
Eswatini,2010,400.0,,,,,,,,,
Eswatini,2009,360.0,,,,,,,,,
Eswatini,2008,380.0,,,,,,,,,
Eswatini,2007,390.0,,,,,,,,,
Eswatini,2006,350.0,,,,,,,,,
Eswatini,2005,390.0,,,,,,,,,
Eswatini,2004,370.0,,,,,,,,,
Eswatini,2003,380.0,,,,,,,,,
Eswatini,2002,350.0,,,,,,,,,
Eswatini,2001,340.0,,,,,,,,,
Eswatini,2000,370.0,,,,,,,,,
Eswatini,1999,380.0,,,,,,,,,
Eswatini,1998,400.0,,,,,,,,,
Eswatini,1997,400.0,,,,,,,,,
Eswatini,1996,400.0,,,,,,,,,
Eswatini,1995,400.0,,,,,,,,,
Eswatini,1994,390.0,,,,,,,,,
Eswatini,1993,380.0,,,,,,,,,
Eswatini,1992,450.0,,,,,,,,,
Eswatini,1991,440.0,,,,,,,,,
Eswatini,1990,420.0,,,,,,,,,
Tajikistan,2020,,,,,,,,,,
Tajikistan,2019,2030.0,,,,,,,,,
Tajikistan,2018,1990.0,,,,,,,,,
Tajikistan,2017,1980.0,,,,,,,,,
Tajikistan,2016,1950.0,,,,,,,,,
Tajikistan,2015,1940.0,,,,,,,,,
Tajikistan,2014,1860.0,,,,,,,,,
Tajikistan,2013,1790.0,,,,,,,,,
Tajikistan,2012,1700.0,,,,,,,,,
Tajikistan,2011,1590.0,,,,,,,,,
Tajikistan,2010,1570.0,,,,,,,,,
Tajikistan,2009,1550.0,,,,,,,,,
Tajikistan,2008,1450.0,,,,,,,,,
Tajikistan,2007,1270.0,,,,,,,,,
Tajikistan,2006,1240.0,,,,,,,,,
Tajikistan,2005,1100.0,,,,,,,,,
Tajikistan,2004,1070.0,,,,,,,,,
Tajikistan,2003,1010.0,,,,,,,,,
Tajikistan,2002,1010.0,,,,,,,,,
Tajikistan,2001,950.0,,,,,,,,,
Tajikistan,2000,920.0,,,,,,,,,
Tajikistan,1999,920.0,,,,,,,,,
Tajikistan,1998,1040.0,,,,,,,,,
Tajikistan,1997,1160.0,,,,,,,,,
Tajikistan,1996,1120.0,,,,,,,,,
Tajikistan,1995,1210.0,,,,,,,,,
Tajikistan,1994,1260.0,,,,,,,,,
Tajikistan,1993,1320.0,,,,,,,,,
Tajikistan,1992,1560.0,,,,,,,,,
Tajikistan,1991,1750.0,,,,,,,,,
Tajikistan,1990,1860.0,,,,,,,,,
United Arab Emirates,2020,,,,,,,,,,
United Arab Emirates,2019,,20.5022832059804,,,,,,,,
United Arab Emirates,2018,,19.3781969586326,,,,,,,,
United Arab Emirates,2017,,21.7284474708515,,,,,,,,
United Arab Emirates,2016,,22.3564734354616,,,,,,,,
United Arab Emirates,2015,,21.8955048714989,,,,,,,,
United Arab Emirates,2014,,20.9100293230277,,,,,,,,
United Arab Emirates,2013,,21.0778366235953,,,,,,,,
United Arab Emirates,2012,,20.2643536679578,,,,,,,,
United Arab Emirates,2011,,19.3114923903879,,,,,,,,
United Arab Emirates,2010,,19.1929248368216,,,,,,,,
United Arab Emirates,2009,,19.6455646307356,,,,,,,,
United Arab Emirates,2008,,22.328950732757,,,,,,,,
United Arab Emirates,2007,,22.4482278843418,,,,,,,,
United Arab Emirates,2006,,24.8134596811062,,,,,,,,
United Arab Emirates,2005,,27.2039685849692,,,,,,,,
United Arab Emirates,2004,,27.5483754663028,,,,,,,,
United Arab Emirates,2003,,27.2247414462007,,,,,,,,
United Arab Emirates,2002,,27.2865755075479,,,,,,,,
United Arab Emirates,2001,,28.1396723638888,,,,,,,,
United Arab Emirates,2000,,25.8691253683213,,,,,,,,
United Arab Emirates,1999,,27.6604543636401,,,,,,,,
United Arab Emirates,1998,,28.5677118101557,,,,,,,,
United Arab Emirates,1997,,29.6563987212499,,,,,,,,
United Arab Emirates,1996,,30.523936588883,,,,,,,,
United Arab Emirates,1995,,30.8834718987933,,,,,,,,
United Arab Emirates,1994,,30.3904124646204,,,,,,,,
United Arab Emirates,1993,,28.6153275964744,,,,,,,,
United Arab Emirates,1992,,28.2105308919489,,,,,,,,
United Arab Emirates,1991,,30.6515241365815,,,,,,,,
United Arab Emirates,1990,,29.055585582409,,,,,,,,
Armenia,2020,,,,,,,,,,
Armenia,2019,,2.1874763175712,,,,,,,,
Armenia,2018,,2.01300380642694,,,,,,,,
Armenia,2017,,1.88293999717351,,,,,,,,
Armenia,2016,,1.76911796096474,,,,,,,,
Armenia,2015,,1.85507171122992,,,,,,,,
Armenia,2014,,1.89623970790763,,,,,,,,
Armenia,2013,,1.89564638956912,,,,,,,,
Armenia,2012,,1.96265391657267,,,,,,,,
Armenia,2011,,1.68659629072429,,,,,,,,
Armenia,2010,,1.47303752633831,,,,,,,,
Armenia,2009,,1.52144058113017,,,,,,,,
Armenia,2008,,1.90720654484247,,,,,,,,
Armenia,2007,,1.73079880337397,,,,,,,,
Armenia,2006,,1.483568657221,,,,,,,,
Armenia,2005,,1.46361666834478,,,,,,,,
Armenia,2004,,1.22645555663085,,,,,,,,
Armenia,2003,,1.13485221954397,,,,,,,,
Armenia,2002,,1.00481890732995,,,,,,,,
Armenia,2001,,1.14900963348827,,,,,,,,
Armenia,2000,,1.12355188837196,,,,,,,,
Armenia,1999,,0.970047067557072,,,,,,,,
Armenia,1998,,1.07080588171761,,,,,,,,
Armenia,1997,,1.02096399787493,,,,,,,,
Armenia,1996,,0.782079348921973,,,,,,,,
Armenia,1995,,1.05634375050786,,,,,,,,
Armenia,1994,,0.812161556125254,,,,,,,,
Armenia,1993,,1.45776431595422,,,,,,,,
Armenia,1992,,3.04933061597877,,,,,,,,
Armenia,1991,,5.71921237959316,,,,,,,,
Armenia,1990,,5.58126875594504,,,,,,,,
Belgium,2020,,,,,,,,,,
Belgium,2019,,8.09558395403513,,,,,,,,
Belgium,2018,,8.19633858929077,,,,,,,,
Belgium,2017,,8.15109567890864,,,,,,,,
Belgium,2016,,8.31493180826759,,,,,,,,
Belgium,2015,,8.43785199879601,,,,,,,,
Belgium,2014,,8.04171121528318,,,,,,,,
Belgium,2013,,8.65547751219134,,,,,,,,
Belgium,2012,,8.5775258769088,,,,,,,,
Belgium,2011,,8.74050515161928,,,,,,,,
Belgium,2010,,9.79479224161996,,,,,,,,
Belgium,2009,,9.23170127271377,,,,,,,,
Belgium,2008,,9.98415218275303,,,,,,,,
Belgium,2007,,9.84311587357925,,,,,,,,
Belgium,2006,,10.3005720657855,,,,,,,,
Belgium,2005,,10.5557823718867,,,,,,,,
Belgium,2004,,10.9412242294738,,,,,,,,
Belgium,2003,,11.1313145272907,,,,,,,,
Belgium,2002,,10.7279884826909,,,,,,,,
Belgium,2001,,11.5043206822099,,,,,,,,
Belgium,2000,,11.4395805389587,,,,,,,,
Belgium,1999,,11.295253988713,,,,,,,,
Belgium,1998,,11.7034113861324,,,,,,,,
Belgium,1997,,11.4553770192152,,,,,,,,
Belgium,1996,,11.7607826291321,,,,,,,,
Belgium,1995,,11.3023711303289,,,,,,,,
Belgium,1994,,11.3586901344388,,,,,,,,
Belgium,1993,,10.9187637432787,,,,,,,,
Belgium,1992,,11.1825020572101,,,,,,,,
Belgium,1991,,11.390890046725,,,,,,,,
Belgium,1990,,10.9667747158004,,,,,,,,
France,2020,,,,,,,,,,
France,2019,,4.45954746474334,,,,,,,,
France,2018,,4.5720300891405,,,,,,,,
France,2017,,4.74954259812627,,,,,,,,
France,2016,,4.70474677978042,,,,,,,,
France,2015,,4.67780722830743,,,,,,,,
France,2014,,4.61605285360078,,,,,,,,
France,2013,,5.12951903165955,,,,,,,,
France,2012,,5.15395169929832,,,,,,,,
France,2011,,5.12875996093606,,,,,,,,
France,2010,,5.34794592819296,,,,,,,,
France,2009,,5.31178089832975,,,,,,,,
France,2008,,5.56060392447916,,,,,,,,
France,2007,,5.66729369701834,,,,,,,,
France,2006,,5.83938617767613,,,,,,,,
France,2005,,6.02420750933948,,,,,,,,
France,2004,,6.02379241763573,,,,,,,,
France,2003,,6.05088862267274,,,,,,,,
France,2002,,6.00198305535196,,,,,,,,
France,2001,,6.13892838326441,,,,,,,,
France,2000,,6.12461463449353,,,,,,,,
France,1999,,6.19624153078403,,,,,,,,
France,1998,,6.33148920327501,,,,,,,,
France,1997,,5.98749933800172,,,,,,,,
France,1996,,6.15664901442659,,,,,,,,
France,1995,,5.91565929799511,,,,,,,,
France,1994,,5.80505678766462,,,,,,,,
France,1993,,5.91173516482189,,,,,,,,
France,1992,,6.26321762112837,,,,,,,,
France,1991,,6.50043972960152,,,,,,,,
France,1990,,6.13733887611894,,,,,,,,
"Hong Kong SAR, China",2020,,,,,,,,,,
"Hong Kong SAR, China",2019,,,,,,,,,,
"Hong Kong SAR, China",2018,,,,,,,,,,
"Hong Kong SAR, China",2017,,,,,,,,,,
"Hong Kong SAR, China",2016,,,,,,,,,,
"Hong Kong SAR, China",2015,,,,,,,,,,
"Hong Kong SAR, China",2014,,,,,,,,,,
"Hong Kong SAR, China",2013,,,,,,,,,,
"Hong Kong SAR, China",2012,,,,,,,,,,
"Hong Kong SAR, China",2011,,,,,,,,,,
"Hong Kong SAR, China",2010,,,,,,,,,,
"Hong Kong SAR, China",2009,,,,,,,,,,
"Hong Kong SAR, China",2008,,,,,,,,,,
"Hong Kong SAR, China",2007,,,,,,,,,,
"Hong Kong SAR, China",2006,,,,,,,,,,
"Hong Kong SAR, China",2005,,,,,,,,,,
"Hong Kong SAR, China",2004,,,,,,,,,,
"Hong Kong SAR, China",2003,,,,,,,,,,
"Hong Kong SAR, China",2002,,,,,,,,,,
"Hong Kong SAR, China",2001,,,,,,,,,,
"Hong Kong SAR, China",2000,,,,,,,,,,
"Hong Kong SAR, China",1999,,,,,,,,,,
"Hong Kong SAR, China",1998,,,,,,,,,,
"Hong Kong SAR, China",1997,,,,,,,,,,
"Hong Kong SAR, China",1996,,,,,,,,,,
"Hong Kong SAR, China",1995,,,,,,,,,,
"Hong Kong SAR, China",1994,,,,,,,,,,
"Hong Kong SAR, China",1993,,,,,,,,,,
"Hong Kong SAR, China",1992,,,,,,,,,,
"Hong Kong SAR, China",1991,,,,,,,,,,
"Hong Kong SAR, China",1990,,,,,,,,,,
Indonesia,2020,,,,,,,,,,
Indonesia,2019,,2.2992559151159,,,,,,,,
Indonesia,2018,,2.16047032927399,,,,,,,,
Indonesia,2017,,1.95584972642611,,,,,,,,
Indonesia,2016,,1.84269495663602,,,,,,,,
Indonesia,2015,,1.88562381069922,,,,,,,,
Indonesia,2014,,1.88857844527322,,,,,,,,
Indonesia,2013,,1.76858505134865,,,,,,,,
Indonesia,2012,,1.92432588804794,,,,,,,,
Indonesia,2011,,1.92355556615107,,,,,,,,
Indonesia,2010,,1.70283790580419,,,,,,,,
Indonesia,2009,,1.62286446373694,,,,,,,,
Indonesia,2008,,1.58084172320028,,,,,,,,
Indonesia,2007,,1.61782661822542,,,,,,,,
Indonesia,2006,,1.57236430937908,,,,,,,,
Indonesia,2005,,1.49537719264076,,,,,,,,
Indonesia,2004,,1.51032182099909,,,,,,,,
Indonesia,2003,,1.49672688517341,,,,,,,,
Indonesia,2002,,1.3885463821283,,,,,,,,
Indonesia,2001,,1.39126069502872,,,,,,,,
Indonesia,2000,,1.31100493323238,,,,,,,,
Indonesia,1999,,1.32456916075216,,,,,,,,
Indonesia,1998,,1.26385887163931,,,,,,,,
Indonesia,1997,,1.27626713385329,,,,,,,,
Indonesia,1996,,1.17552536913803,,,,,,,,
Indonesia,1995,,1.12889783546255,,,,,,,,
Indonesia,1994,,1.02181038832319,,,,,,,,
Indonesia,1993,,0.965331276435553,,,,,,,,
Indonesia,1992,,0.909585494184465,,,,,,,,
Indonesia,1991,,0.87612712621865,,,,,,,,
Indonesia,1990,,0.815382645686283,,,,,,,,
Kenya,2020,,,,,,,,,,
Kenya,2019,,0.43727903105104,,,,,,,,
Kenya,2018,,0.350126986017145,,,,,,,,
Kenya,2017,,0.387757342883883,,,,,,,,
Kenya,2016,,0.399000569590554,,,,,,,,
Kenya,2015,,0.367330896394853,,,,,,,,
Kenya,2014,,0.330556050460578,,,,,,,,
Kenya,2013,,0.314785777377738,,,,,,,,
Kenya,2012,,0.277867939553368,,,,,,,,
Kenya,2011,,0.305616411966879,,,,,,,,
Kenya,2010,,0.304447042493913,,,,,,,,
Kenya,2009,,0.290106808807945,,,,,,,,
Kenya,2008,,0.252890662743555,,,,,,,,
Kenya,2007,,0.246340428478265,,,,,,,,
Kenya,2006,,0.251860161682165,,,,,,,,
Kenya,2005,,0.232123353893108,,,,,,,,
Kenya,2004,,0.213843272232614,,,,,,,,
Kenya,2003,,0.193383380727808,,,,,,,,
Kenya,2002,,0.226358759664259,,,,,,,,
Kenya,2001,,0.23930559491135,,,,,,,,
Kenya,2000,,0.269678019354973,,,,,,,,
Kenya,1999,,0.249957208594029,,,,,,,,
Kenya,1998,,0.245732516792094,,,,,,,,
Kenya,1997,,0.234097383947632,,,,,,,,
Kenya,1996,,0.252392331676404,,,,,,,,
Kenya,1995,,0.236993740723713,,,,,,,,
Kenya,1994,,0.224613817293075,,,,,,,,
